group,specification,history,minimum_articles,hac_lags,variable,n,n_hamas,n_taliban,n_farc,estimator,estimate,standard_error,p_value,ci_low,ci_high,uncertainty,joint_mle_success,fdr_p
Temporal aggregation,One week,approximately 12 weeks,10,13,fatalities_present,719,287,304,128,bca,0.03702402434065369,0.21547130775928347,0.863572677392686,-0.3852997388675419,0.4593477875488493,conditional actor-specific HAC,,0.863572677392686
Temporal aggregation,One week,approximately 12 weeks,10,13,fatalities_present,719,287,304,128,bcm,0.03947095630264515,0.21547130775928347,0.8546534286594779,-0.38285280690555046,0.4617947195108407,conditional actor-specific HAC,,0.8546534286594779
Temporal aggregation,One week,approximately 12 weeks,10,13,fatalities_present,719,287,304,128,joint_mle,0.029755574825333975,0.2088834163480724,0.8867240709896818,-0.3796559212168879,0.43916707086755585,inverse integrated-likelihood information,True,0.8867240709896818
Temporal aggregation,Two weeks,approximately 12 weeks,20,6,direct_conflict_relevance,360,144,152,64,naive,1.2898909435517125,0.6443537429257039,0.04530230189695964,0.026957607417332774,2.5528242796860923,conditional actor-specific HAC,,0.06795345284543947
Temporal aggregation,Two weeks,approximately 12 weeks,20,6,direct_conflict_relevance,360,144,152,64,direct,0.858424983345683,0.43818459269580584,0.0501070766181883,-0.0004168183380964807,1.7172667850294623,conditional actor-specific HAC,,0.07516061492728245
Temporal aggregation,Two weeks,approximately 12 weeks,20,6,direct_conflict_relevance,360,144,152,64,bca,1.0024553112248284,0.43818459269580584,0.022152282343896178,0.143613509541049,1.8612971129086078,conditional actor-specific HAC,,0.03322842351584426
Temporal aggregation,Two weeks,approximately 12 weeks,20,6,direct_conflict_relevance,360,144,152,64,bcm,1.0314935118751773,0.43818459269580584,0.018571815127112788,0.1726517101913979,1.890335313558957,conditional actor-specific HAC,,0.027857722690669183
Temporal aggregation,Two weeks,approximately 12 weeks,20,6,direct_conflict_relevance,360,144,152,64,joint_mle,0.9613202384654299,0.4398494814010019,0.028847344606656514,0.09921525491946626,1.8234252220113936,inverse integrated-likelihood information,True,0.04327101690998477
Temporal aggregation,Two weeks,approximately 12 weeks,20,6,physical_violence,360,144,152,64,naive,1.3121894657713666,0.42263760855729576,0.0019043176325570508,0.483819752999067,2.140559178543666,conditional actor-specific HAC,,0.005712952897671152
Temporal aggregation,Two weeks,approximately 12 weeks,20,6,physical_violence,360,144,152,64,direct,0.9350066808923363,0.3012246432538058,0.0019091178818672987,0.3446063801148769,1.5254069816697957,conditional actor-specific HAC,,0.005727353645601896
Temporal aggregation,Two weeks,approximately 12 weeks,20,6,physical_violence,360,144,152,64,bca,1.0560554512957376,0.3012246432538058,0.0004551117087559334,0.4656551505182782,1.646455752073197,conditional actor-specific HAC,,0.0013653351262678
Temporal aggregation,Two weeks,approximately 12 weeks,20,6,physical_violence,360,144,152,64,bcm,1.0740573708389405,0.3012246432538058,0.00036297515370404377,0.48365707006148106,1.6644576716164,conditional actor-specific HAC,,0.0010889254611121313
Temporal aggregation,Two weeks,approximately 12 weeks,20,6,physical_violence,360,144,152,64,joint_mle,1.0499336977816178,0.28121397235057466,0.00018878030157795978,0.4987543119744915,1.6011130835887442,inverse integrated-likelihood information,True,0.0005663409047338793
Temporal aggregation,Two weeks,approximately 12 weeks,20,6,fatalities_present,360,144,152,64,naive,0.3861851225005501,0.3770145854681001,0.30568222277431234,-0.3527634650169262,1.1251337100180263,conditional actor-specific HAC,,0.30568222277431234
Temporal aggregation,Two weeks,approximately 12 weeks,20,6,fatalities_present,360,144,152,64,direct,0.3908985333775264,0.28911182153199916,0.1763539048146246,-0.175760636825192,0.9575577035802447,conditional actor-specific HAC,,0.17635390481462462
Temporal aggregation,Two weeks,approximately 12 weeks,20,6,fatalities_present,360,144,152,64,bca,0.45756537215049975,0.28911182153199916,0.11349925076698482,-0.10909379805221864,1.0242245423532181,conditional actor-specific HAC,,0.11349925076698482
Temporal aggregation,Two weeks,approximately 12 weeks,20,6,fatalities_present,360,144,152,64,bcm,0.47127306163903754,0.28911182153199916,0.10308629788144559,-0.09538610856368085,1.0379322318417559,conditional actor-specific HAC,,0.10308629788144559
Temporal aggregation,Two weeks,approximately 12 weeks,20,6,fatalities_present,360,144,152,64,joint_mle,0.33469990806882366,0.3203277978463112,0.29608449706264395,-0.2931425757099463,0.9625423918475936,inverse integrated-likelihood information,True,0.29608449706264395
Temporal aggregation,Four weeks,approximately 12 weeks,40,3,direct_conflict_relevance,183,75,75,33,naive,1.5899382771022297,1.222730101938756,0.19349191261930848,-0.8066127226977322,3.9864892769021916,conditional actor-specific HAC,,0.1934919126193085
Temporal aggregation,Four weeks,approximately 12 weeks,40,3,direct_conflict_relevance,183,75,75,33,direct,1.0021414094422667,0.8262194970669536,0.2251589009258609,-0.6172488048089624,2.621531623693496,conditional actor-specific HAC,,0.2251589009258609
Temporal aggregation,Four weeks,approximately 12 weeks,40,3,direct_conflict_relevance,183,75,75,33,bca,1.1279287249937693,0.8262194970669536,0.17220013687471566,-0.4914614892574598,2.747318939244998,conditional actor-specific HAC,,0.17220013687471566
Temporal aggregation,Four weeks,approximately 12 weeks,40,3,direct_conflict_relevance,183,75,75,33,bcm,1.145983583028843,0.8262194970669536,0.16543543692081839,-0.47340663122238613,2.765373797280072,conditional actor-specific HAC,,0.16543543692081839
Temporal aggregation,Four weeks,approximately 12 weeks,40,3,direct_conflict_relevance,183,75,75,33,joint_mle,1.0514780526452832,0.6808444322507987,0.1224978924198874,-0.2829770345662823,2.3859331398568484,inverse integrated-likelihood information,True,0.1224978924198874
Temporal aggregation,Four weeks,approximately 12 weeks,40,3,physical_violence,183,75,75,33,naive,1.5011286928693826,0.8176910789450038,0.06638517697856126,-0.1015458218628249,3.1038032076015902,conditional actor-specific HAC,,0.10200132568586505
Temporal aggregation,Four weeks,approximately 12 weeks,40,3,physical_violence,183,75,75,33,direct,1.0550649943169486,0.5745404851223078,0.06630396081438367,-0.07103435652277468,2.181164345156672,conditional actor-specific HAC,,0.198911882443151
Temporal aggregation,Four weeks,approximately 12 weeks,40,3,physical_violence,183,75,75,33,bca,1.1585924953793187,0.5745404851223078,0.043741971758117795,0.03249314453959551,2.284691846219042,conditional actor-specific HAC,,0.1312259152743534
Temporal aggregation,Four weeks,approximately 12 weeks,40,3,physical_violence,183,75,75,33,bcm,1.1698563116263907,0.5745404851223078,0.04173429885349953,0.043756960786667465,2.295955662466114,conditional actor-specific HAC,,0.1252028965604986
Temporal aggregation,Four weeks,approximately 12 weeks,40,3,physical_violence,183,75,75,33,joint_mle,1.1363173648625855,0.4573648145765292,0.012973790347705549,0.23988232829258826,2.0327524014325826,inverse integrated-likelihood information,True,0.038921371043116645
Temporal aggregation,Four weeks,approximately 12 weeks,40,3,fatalities_present,183,75,75,33,naive,1.382788621434408,0.7576919948682244,0.0680008837905767,-0.10228768850731162,2.8678649313761277,conditional actor-specific HAC,,0.10200132568586505
Temporal aggregation,Four weeks,approximately 12 weeks,40,3,fatalities_present,183,75,75,33,direct,0.883538877237624,0.6246433680463834,0.15722415060289197,-0.34076212413328744,2.1078398786085355,conditional actor-specific HAC,,0.2251589009258609
Temporal aggregation,Four weeks,approximately 12 weeks,40,3,fatalities_present,183,75,75,33,bca,1.014650139549836,0.6246433680463834,0.10429748321834724,-0.2096508618210755,2.238951140920747,conditional actor-specific HAC,,0.15644622482752085
Temporal aggregation,Four weeks,approximately 12 weeks,40,3,fatalities_present,183,75,75,33,bcm,1.0374964077676843,0.6246433680463834,0.09672509504543085,-0.1868045936032272,2.2617974091385955,conditional actor-specific HAC,,0.14508764256814627
